,titulo,data,horario,genero_ano,sinopse
68,Portugal... Minha Saudade,2025-04-23,05:00,Comedy / 1974 / 5.5,"Os gêmeos Sabino e Agostinho vivem separados um do outro. Sabino mora com o filho casado no Brasil e leva uma vida muito humilde, vendendo frutas nas ruas de São Paulo. Agostinho mora em Lisboa, Portugal. Por causa dos muitos conflitos com a família de seu filho, Sabino é colocado em um asilo. Um dia, seu irmão Agostinho chega, inesperadamente, de Lisboa e fica abismado com o jeito que tratam seu irmão e o leva para Portugal."
69,Portugal... Minha Saudade,2025-04-24,05:00,Comedy / 1974 / 5.5,"Os gêmeos Sabino e Agostinho vivem separados um do outro. Sabino mora com o filho casado no Brasil e leva uma vida muito humilde, vendendo frutas nas ruas de São Paulo. Agostinho mora em Lisboa, Portugal. Por causa dos muitos conflitos com a família de seu filho, Sabino é colocado em um asilo. Um dia, seu irmão Agostinho chega, inesperadamente, de Lisboa e fica abismado com o jeito que tratam seu irmão e o leva para Portugal."
70,O Grande Mentecapto,2025-04-24,06:45,Comedy / 1989 / 6.7,Geraldo Viramundo é um sujeito simpático com ideias absurdas. Ele decide abandonar sua pequena cidade em Minas Gerais e ganhar o mundo. Seu objetivo é desestabilizar o sistema e seus cúmplices são as prostitutas e os desvalidos.
71,Brasil na Pista - O Filme,2025-04-24,08:30,Documentary / 2020,"As polêmicas e conquistas dos brasileiros na Fórmula 1. Histórias desconhecidas que revelam superação, escândalos, golpes contratuais e situações dramáticas protagonizadas por Emerson Fittipaldi, Nelson Piquet, Ayrton Senna e Rubens Barrichello."
72,Esquinas - Pílulas,2025-04-24,10:45,Documentary,Reportagens documentais inspiradas na seção homônima da Revista Piauí. Personagens e eventos peculiares são colhidos pelos quatro cantos do país com uma abordagem inovadora.
73,Guard Dog & Bill Plympton no Brasil,2025-04-24,11:00,Children,Um ansioso e neurótico cãozinho se desgarra de seu dono Plympton e parte rumo a pequenas aventuras ao chegar no Brasil.
74,Quatro Dias com Eduardo,2025-04-24,11:10,Documentary / 2023,"São Paulo, eleições municipais de 2016. O documentário acompanha o último final de semana de campanha do ex-senador Eduardo Suplicy, então candidato a vereador."
75,Ouro para o Bem do Brasil,2025-04-24,12:30,Documentary / 2020,"Após o golpe militar, o empresário Assis Chateaubriand cria a campanha ""Ouro para o bem do Brasil"", por meio da qual convidava a população brasileira a ajudar a acabar com a dívida externa do país."
76,Egos,2025-04-24,12:48,2023,"Com um ator que não consegue atuar e uma equipe insatisfeita, um diretor de cinema tenta criar uma cena emocionante para seu filme, mas os egos envolvidos apresentam verdadeiros obstáculos."
77,Cinejornal,2025-04-24,13:00,Art,"O cinema brasileiro em pauta com as novidades e os bastidores da produção nacional, entrevistas com atores e diretores e a cobertura completa de festivais importantes em todo o país."
78,Esquinas - Pílulas,2025-04-24,13:15,Documentary,Reportagens documentais inspiradas na seção homônima da Revista Piauí. Personagens e eventos peculiares são colhidos pelos quatro cantos do país com uma abordagem inovadora.
79,O Amuleto de Ogum,2025-04-24,13:30,Drama / 1974 / 7.0,"No sertão, Maria leva seu filho Gabriel a um centro de umbanda, a fim de buscar proteção. O rapaz ganha um amuleto, capaz de gerar grande cobiça."
